Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Poland,Price / Poland,Compare At Price / Poland,Included / Nike,Price / Nike,Compare At Price / Nike,Status
krabowe-skorupki,KRABOWE SKORUPKI CARD,http://www.kraboweskorupki.com/,Krabowe Skorupki,Karty prezentowe,Gift Cards,"kraboweskorupki.com, spo-default, spo-disabled",true,Nominały,"1000,00 zł",,,,,72102909_019,0.0,,deny,gift_card,1000.00,1000.00,false,false,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/1640206413544.jpg?v=1641467336,1,,true,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
krabowe-skorupki,,,,,,,,,"2500,00 zł",,,,,72102909_020,0.0,,deny,gift_card,2500.00,25000.00,false,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
krabowe-skorupki,,,,,,,,,"5000,00 zł",,,,,72102909_021,0.0,,deny,gift_card,5000.00,5000.00,false,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
krabowe-skorupki,,,,,,,,,"10 000,00 zł",,,,,72102909_022,0.0,,deny,gift_card,10000.00,10000.00,false,false,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
zagle-gaastra,WINDSURFING SAILS,http://www.kraboweskorupki.com/,Krabowe Skorupki,Sprzęt sportowy > Rekreacja na świeżym powietrzu > Żegluga i sporty wodne > Windsurfing,WINDSURFING SAILS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_036,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/N-GA-SAILS-CROSS-2017.jpg?v=1641467566,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
storage,STORAGE,http://www.kraboweskorupki.com/,Krabowe Skorupki,,STORAGE,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_035,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/STORAGE.jpg?v=1595079683,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
start-up,CYFROWE ID,http://www.kraboweskorupki.com/,Krabowe Skorupki,,START UP,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_012,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/STARTUP.jpg?v=1595079685,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
specialist-projects,SPECIALIST PROJECTS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,SPECIALIST PROJECTS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_034,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SPECIALISTPROJECTS.jpg?v=1595079687,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
sounds-systems,SOUNDS SYSTEMS,http://www.kraboweskorupki.com/,Krabowe Skorupki,,SOUNDS SYSTEMS,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_033,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SOUNDSSYSTEMS.jpg?v=1595079689,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
software,SOFTWARE,http://www.kraboweskorupki.com/,Krabowe Skorupki,,SOFTWARE,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_032,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SOFTWARE.jpg?v=1595079691,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
shoes,SHOES,http://www.kraboweskorupki.com/,Krabowe Skorupki,,SHOES,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_031,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SHOES.jpg?v=1595079694,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
ship-building-and-design,SHIP BUILDING AND DESIGN,http://www.kraboweskorupki.com/,Krabowe Skorupki,,SHIP BUILDING AND DESIGN,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_030,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SHIPBUILDINGANDDESIGN.jpg?v=1595079696,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
programming,PROGRAMMING,http://www.kraboweskorupki.com/,Krabowe Skorupki,,PROGRAMMING,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_029,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PROGRAMMING.jpg?v=1595079698,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
port-service,PORT SERVICE,http://www.kraboweskorupki.com/,Krabowe Skorupki,,PORT SERVICE,"kraboweskorupki.com, spo-default, spo-disabled",true,Title,Default Title,,,,,72102909_028,0.0,shopify,continue,manual,10000.00,10000.00,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PORTSERVICE.jpg?v=1595079700,1,,false,,,,,,,,true,,,,,,,kg,,,true,,,true,,,active
